id,emotion1,emotion2,emotion3,emotion4,emotion5,emotion6
1,0.1844559191,0.0119723794,0.0013838655,0.7930556238,0.0085332353,0.000598952
2,0.2837994117,0.1419509744,0.0088050829,0.5532860905,0.0102267006,0.00193171
3,0.7766759992,0.0086153373,0.001827425,0.2076437175,0.0044333157,0.0008041962
4,0.0058345846,0.0104385259,0.8749917448,0.1025696346,0.0038825357,0.0022830329
5,0.9659802914,0.0155367232,0.0007976972,0.0142595072,0.0018704394,0.0015553894
6,0.1485067804,0.0311024003,0.0045647437,0.7618029714,0.0526483632,0.0013748016
7,0.01683651,0.2714401782,0.0051217116,0.6966860592,0.0077313872,0.0021841537
8,0.0008412991,0.4999187948,0.0011311193,0.4962504089,0.0016306129,0.000227753
9,0.5141244009,0.0168916638,0.0016174539,0.4531783726,0.0136677111,0.0005203994
10,0.1747979584,0.0265145789,0.2473741897,0.5472146968,0.0024663799,0.0016322004
11,0.153569572,0.0352439173,0.00181364,0.7730107804,0.034167733,0.0021943412
12,0.0039198402,0.0053377247,0.9711828232,0.0149863316,0.0022908357,0.0022824623
13,0.4876099693,0.0043912479,0.0010257449,0.5039346102,0.0026212138,0.0004171554
14,0.0539643423,0.2430098603,0.0242890542,0.6623841027,0.0139088519,0.0024438064
15,0.6418814131,0.0129821477,0.001565873,0.276785916,0.0649806146,0.0018040127
16,0.0519527141,0.1412293439,0.0071961302,0.458854576,0.3333964357,0.0073707553
17,0.1316321197,0.0061074957,0.0014107294,0.5263675789,0.3337898958,0.0006921926
18,0.0014724572,0.9969441295,0.0004310601,0.0006077015,0.0003001557,0.0002444945
19,0.0047037854,0.381195463,0.2668248914,0.3448297846,0.0011716588,0.0012744204
20,0.0119472565,0.839271307,0.003526411,0.1405597776,0.0028633655,0.0018319362
21,0.0169252111,0.0620221235,0.2587894038,0.6521539986,0.0075677205,0.0025415845
22,0.4914408773,0.0307340489,0.003285952,0.4638985656,0.0095614971,0.001079049
23,0.0035343628,0.0036403752,0.0008210691,0.9900285602,0.0016285753,0.0003470729
24,0.3352569643,0.0626484733,0.0056630152,0.589556744,0.0061187024,0.0007561426
25,0.0012253487,0.0007562239,0.0004081923,0.9960481226,0.0013411253,0.000220968
26,0.9801182747,0.0034985664,0.0004734685,0.0117827833,0.0038528347,0.0002740369
27,0.0042388798,0.9684034586,0.0058709108,0.0196813662,0.0009930531,0.0008123419
28,0.017162388,0.3525165155,0.0013363573,0.6255602188,0.0028193085,0.0006052857
29,0.0576590882,0.421999082,0.0114591015,0.4997471571,0.0068755709,0.0022599553
30,0.4077288061,0.3175794629,0.0078007147,0.2625541706,0.0032836606,0.0010531932
